,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
0,1,0,0,1,0,146.41216216216216,30.0,0,2,1,5849.0
1,1,1,1,1,0,128.0,30.0,1,0,0,6091.0
2,1,1,0,1,1,66.0,30.0,1,2,1,3000.0
3,1,1,0,0,0,120.0,30.0,1,2,1,4941.0
4,1,0,0,1,0,141.0,30.0,0,2,1,6000.0
5,1,1,2,1,1,267.0,30.0,1,2,1,9613.0
6,1,1,0,0,0,95.0,30.0,1,2,1,3849.0
7,1,1,4,1,0,158.0,30.0,1,1,0,5540.0
8,1,1,2,1,0,168.0,30.0,1,2,1,5532.0
9,1,1,1,1,0,349.0,30.0,1,1,0,23809.0
10,1,1,2,1,0,70.0,30.0,1,2,1,3900.0
11,1,1,2,1,0,109.0,30.0,1,2,1,4340.0
12,1,1,2,1,0,200.0,30.0,1,2,1,11179.0
13,1,0,0,1,0,114.0,30.0,0,0,0,4693.0
14,1,1,2,1,0,17.0,10.0,1,2,1,2385.0
15,1,0,0,1,0,125.0,30.0,0,2,1,4950.0
16,1,0,1,0,0,100.0,20.0,0,2,1,3596.0
17,0,0,0,1,0,76.0,30.0,0,2,0,3510.0
18,1,1,0,0,0,133.0,30.0,1,0,0,4887.0
19,1,1,0,1,0,115.0,28.5,1,2,1,6100.0
20,1,1,0,0,0,104.0,30.0,1,2,0,7660.0
21,1,1,1,1,0,315.0,30.0,1,2,1,11580.0
22,1,1,0,0,0,116.0,30.0,1,1,0,4511.0
24,1,1,1,1,0,151.0,30.0,1,1,0,6642.0
25,1,1,0,1,1,191.0,30.0,1,1,1,9560.0
26,1,1,0,1,0,122.0,30.0,1,1,1,5052.0
27,1,1,2,0,0,110.0,30.0,1,2,1,5266.0
28,1,0,0,0,0,35.0,30.0,0,2,0,1442.0
29,0,0,2,1,0,120.0,30.0,0,1,1,5833.0
30,1,1,1,1,0,201.0,30.0,1,2,0,7535.0
31,1,0,0,1,0,74.0,30.0,0,2,0,3167.0
32,1,0,1,1,1,106.0,30.0,0,0,0,4692.0
33,1,1,0,1,0,114.0,30.0,1,1,1,5167.0
34,1,0,4,1,0,320.0,30.0,0,0,0,15500.0
35,1,1,0,1,0,146.41216216216216,30.0,1,2,1,4342.0
36,1,1,0,1,0,100.0,28.5,1,2,0,3158.0
37,0,1,0,1,0,144.0,30.0,1,1,1,5126.0
38,1,0,0,1,0,184.0,30.0,0,2,1,11376.0
39,1,0,0,0,0,110.0,30.0,0,1,1,5416.0
40,1,0,0,1,0,80.0,30.0,0,2,0,3600.0
41,1,0,0,1,0,47.0,30.0,0,2,1,3013.0
42,1,1,0,1,0,75.0,30.0,1,2,1,2400.0
43,1,1,0,1,0,134.0,30.0,1,1,1,6277.0
44,1,1,0,0,1,96.0,28.5,1,2,1,4695.0
45,0,0,0,1,0,88.0,28.5,0,2,1,3410.0
46,1,1,1,1,0,44.0,30.0,1,2,1,5649.0
47,1,1,0,1,0,144.0,30.0,1,2,1,5821.0
48,0,1,0,1,0,120.0,30.0,1,2,0,6085.0
49,0,0,0,1,0,144.0,30.0,0,1,1,6275.0
50,0,1,0,0,0,100.0,30.0,1,1,1,3572.0
51,0,0,0,1,0,120.0,30.0,0,1,1,3086.0
52,0,0,0,1,0,112.0,30.0,0,1,0,4230.0
53,1,1,2,1,0,134.0,30.0,1,2,0,4616.0
54,0,1,1,1,1,286.0,30.0,1,2,0,11500.0
55,1,1,2,1,0,97.0,30.0,1,1,1,3875.0
56,1,1,0,1,0,96.0,30.0,1,1,1,3723.0
57,1,1,0,1,0,135.0,30.0,1,0,0,5566.0
58,1,1,1,1,0,180.0,30.0,1,2,1,10330.0
59,1,1,2,0,0,144.0,30.0,1,2,1,6216.0
60,1,1,0,1,0,120.0,30.0,1,2,1,6296.0
61,1,1,4,1,0,99.0,30.0,1,2,1,3029.0
62,1,1,0,0,1,165.0,15.0,1,0,0,6058.0
63,1,1,1,1,0,146.41216216216216,30.0,1,0,0,4945.0
64,0,0,0,1,0,116.0,30.0,0,1,0,4166.0
65,1,1,0,1,0,258.0,30.0,1,1,0,10321.0
66,1,0,0,0,0,126.0,15.0,0,2,0,5454.0
67,1,1,1,1,0,312.0,30.0,1,2,1,10750.0
68,1,1,4,0,1,125.0,5.0,1,2,1,7100.0
69,0,0,0,1,0,136.0,30.0,0,1,0,4300.0
70,1,1,0,1,0,172.0,30.0,1,2,1,6274.0
71,1,1,2,0,1,97.0,30.0,1,1,1,3750.0
72,1,0,0,1,0,81.0,25.0,0,1,1,3500.0
73,1,1,4,0,0,95.0,28.5,1,1,0,4755.0
74,1,1,4,1,1,187.0,30.0,1,1,1,7040.0
75,1,0,0,1,0,113.0,40.0,0,2,0,3750.0
76,1,0,0,1,0,176.0,30.0,0,2,0,8500.0
77,1,1,1,1,1,110.0,30.0,1,2,0,4022.0
78,1,1,4,1,0,180.0,25.0,1,1,0,7167.0
79,1,1,4,0,1,130.0,30.0,1,1,1,5499.0
80,0,0,0,1,0,111.0,30.0,0,1,1,3846.0
81,1,1,1,1,1,146.41216216216216,30.0,1,1,1,2395.0
82,0,1,2,1,0,167.0,30.0,1,2,0,3259.0
83,1,1,0,1,0,265.0,30.0,1,1,0,8250.0
84,1,1,1,1,0,50.0,20.0,1,2,1,3988.0
85,1,0,0,1,0,136.0,30.0,0,1,1,4897.0
86,1,1,2,0,0,99.0,30.0,1,1,1,5333.0
87,1,1,0,1,0,104.0,30.0,1,1,1,4618.0
88,1,0,0,1,0,210.0,30.0,0,2,1,8566.0
89,1,1,0,1,0,175.0,30.0,1,1,1,9862.0
90,1,1,0,1,0,131.0,30.0,1,1,1,5858.0
91,1,1,2,1,0,188.0,15.0,1,1,1,11904.0
92,1,1,2,0,0,81.0,30.0,1,2,1,5093.0
93,1,0,0,1,0,122.0,30.0,0,1,1,4133.0
94,1,0,0,0,0,25.0,10.0,0,1,1,3620.0
95,1,0,0,1,0,146.41216216216216,30.0,0,2,0,6782.0
96,0,1,0,1,0,137.0,30.0,1,1,1,4786.0
97,1,1,0,1,0,50.0,30.0,1,1,1,2974.0
98,1,1,0,0,0,115.0,15.0,1,1,1,4188.0
99,1,1,0,1,0,131.0,30.0,1,1,1,5300.0
100,1,1,2,0,0,133.0,15.0,1,2,1,7551.0
101,1,0,0,1,0,151.0,30.0,0,1,1,8649.0
102,1,1,0,1,0,146.41216216216216,30.0,1,2,1,13650.0
103,1,1,0,1,0,146.41216216216216,30.0,1,1,1,8235.0
104,1,1,0,1,0,160.0,30.0,1,2,1,4570.0
105,1,1,1,1,0,100.0,30.0,1,2,1,4082.0
106,1,1,2,1,0,225.0,30.0,1,2,1,12543.0
107,1,0,0,0,0,120.0,30.0,0,0,0,7333.0
108,1,1,2,1,0,216.0,30.0,1,2,0,7400.0
109,1,1,4,0,0,94.0,40.0,1,1,1,2825.0
110,1,0,0,1,0,136.0,30.0,0,2,1,5316.0
111,0,1,0,1,0,139.0,30.0,1,1,1,5262.0
112,1,1,0,0,0,152.0,28.5,1,0,0,7686.0
113,0,0,1,1,1,146.41216216216216,30.0,0,1,1,7451.0
114,1,0,0,1,0,118.0,30.0,0,1,1,5050.0
115,1,1,1,1,0,185.0,15.0,1,0,1,14583.0
116,0,1,0,1,0,154.0,30.0,1,1,1,5450.0
117,1,1,1,1,0,85.0,30.0,1,2,1,3612.0
118,1,1,0,1,0,175.0,30.0,1,0,0,7710.0
119,0,0,0,1,0,259.0,30.0,0,2,1,10408.0
120,1,1,0,1,0,180.0,30.0,1,0,1,8334.0
121,0,0,0,1,0,44.0,30.0,0,1,1,4166.0
122,0,0,0,1,0,137.0,30.0,0,1,1,11117.0
123,1,1,2,1,0,81.0,30.0,1,1,1,2957.0
124,1,1,0,0,0,194.0,30.0,1,0,1,6314.0
125,0,0,0,1,0,93.0,30.0,0,0,1,3692.0
127,1,0,0,1,0,146.41216216216216,30.0,0,0,1,5505.0
128,1,1,1,1,1,160.0,15.0,1,2,0,14363.0
129,1,1,0,1,0,182.0,30.0,1,0,0,8649.0
130,1,0,0,1,1,650.0,40.0,0,2,1,20166.0
131,1,0,0,1,0,74.0,30.0,0,2,1,3943.0
132,1,0,0,1,0,70.0,30.0,0,1,1,2718.0
133,1,1,0,1,1,25.0,10.0,1,1,1,3459.0
134,1,0,0,1,0,102.0,30.0,0,1,1,4895.0
135,1,1,4,1,0,290.0,30.0,1,1,0,11750.0
136,0,1,0,1,0,84.0,30.0,1,0,0,4583.0
137,1,1,2,1,1,88.0,30.0,1,2,1,6816.0
138,1,0,0,1,0,242.0,30.0,0,1,0,14999.0
139,1,1,2,0,0,129.0,30.0,1,0,0,5630.0
140,1,1,2,1,0,185.0,30.0,1,0,0,7125.0
141,1,0,0,1,0,168.0,30.0,0,2,1,5417.0
142,1,0,0,1,1,175.0,15.0,0,1,1,6950.0
143,1,1,0,1,0,122.0,30.0,1,1,1,4732.0
144,1,1,2,1,0,187.0,15.0,1,2,1,11757.0
145,0,1,0,1,0,100.0,30.0,1,1,1,6816.0
146,0,1,2,1,0,70.0,30.0,1,2,1,14866.0
147,1,1,1,1,0,30.0,30.0,1,2,1,2963.0
148,0,0,0,1,0,225.0,30.0,0,0,0,11666.0
149,1,1,0,1,0,125.0,30.0,1,1,1,5690.0
150,1,0,0,1,0,118.0,30.0,0,0,0,6277.0
151,1,1,0,1,1,152.0,30.0,1,0,1,6327.0
152,1,0,0,1,0,244.0,30.0,0,2,0,9166.0
153,1,1,2,0,0,113.0,30.0,1,0,0,2281.0
154,1,0,0,1,0,50.0,30.0,0,2,1,3254.0
155,1,1,4,1,0,600.0,15.0,1,1,1,39999.0
156,1,1,1,1,0,160.0,30.0,1,0,1,6000.0
157,1,1,1,1,0,187.0,30.0,1,2,1,9538.0
158,1,0,0,1,0,120.0,30.0,0,0,1,5063.0
159,1,1,0,1,0,255.0,30.0,1,1,1,10208.0
160,1,1,0,0,0,98.0,30.0,1,1,1,2904.0
161,1,1,0,1,0,275.0,30.0,1,2,0,7933.0
162,1,1,1,1,0,121.0,30.0,1,1,0,4369.0
163,1,1,2,1,0,158.0,30.0,1,0,1,5614.0
164,1,1,0,1,0,75.0,15.0,1,2,1,9323.0
165,1,1,0,1,0,182.0,28.5,1,0,1,6873.0
166,0,1,0,1,0,112.0,30.0,1,0,0,4583.0
167,1,1,0,1,0,129.0,30.0,1,0,1,5772.0
168,1,0,0,1,0,63.0,40.0,0,1,0,2237.0
169,1,1,2,1,0,200.0,30.0,1,1,1,8000.0
170,1,1,0,0,0,95.0,30.0,1,0,1,3589.0
172,1,1,4,0,0,81.0,15.0,1,0,0,3522.0
173,1,1,0,1,0,187.0,30.0,1,1,1,11333.0
174,1,1,0,0,1,87.0,30.0,1,1,0,5080.0
175,1,1,0,1,0,116.0,30.0,1,0,1,5461.0
176,1,1,2,1,0,101.0,30.0,1,0,1,3664.0
177,1,1,4,1,0,495.0,30.0,1,1,0,16816.0
178,1,1,1,1,0,116.0,30.0,1,1,1,3750.0
179,1,0,0,0,0,102.0,40.0,0,2,0,3784.0
180,1,1,1,1,0,180.0,30.0,1,2,0,13650.0
181,1,0,0,1,0,67.0,30.0,0,0,0,6979.0
182,1,1,0,1,0,73.0,15.0,1,1,1,4600.0
183,1,1,1,1,0,260.0,30.0,1,1,0,33846.0
184,0,1,0,1,0,108.0,30.0,1,1,1,3625.0
185,1,1,0,1,1,120.0,30.0,1,1,1,43897.0
186,1,1,1,1,1,66.0,25.0,1,0,0,2178.0
187,1,1,0,1,0,58.0,30.0,1,0,1,4521.0
189,1,1,0,1,0,188.0,15.0,1,0,1,9328.0
190,1,0,0,0,0,48.0,30.0,0,0,1,4885.0
191,1,0,0,1,0,164.0,30.0,0,1,0,12000.0
192,1,1,0,0,0,160.0,30.0,1,2,0,6033.0
193,1,0,0,1,0,76.0,30.0,0,1,1,3858.0
194,1,0,0,1,0,120.0,30.0,0,0,1,4191.0
195,1,1,1,1,0,170.0,30.0,1,1,0,5708.0
196,1,0,0,1,0,187.0,30.0,0,0,1,12083.0
197,0,0,0,0,0,120.0,28.5,0,2,1,4272.0
198,0,1,0,1,0,113.0,30.0,1,1,1,6232.0
199,1,0,0,1,1,83.0,30.0,0,2,0,11000.0
200,1,1,1,0,0,90.0,30.0,1,1,1,5100.0
201,1,0,2,1,0,166.0,30.0,0,1,1,4923.0
202,1,1,4,0,0,146.41216216216216,15.0,1,2,0,3992.0
203,1,1,1,0,0,135.0,30.0,1,2,1,4583.0
204,1,1,2,0,0,124.0,30.0,1,1,1,3917.0
205,0,0,0,0,0,120.0,30.0,0,1,1,4408.0
206,0,0,0,1,0,80.0,30.0,0,2,1,3244.0
207,1,0,0,0,0,55.0,30.0,0,0,1,6506.0
208,1,0,0,1,0,59.0,30.0,0,2,1,2479.0
209,1,0,0,1,0,127.0,30.0,0,1,0,3418.0
210,0,0,0,1,0,214.0,30.0,0,1,0,10000.0
211,1,1,4,1,0,128.0,30.0,1,1,0,4680.0
212,1,1,1,1,1,240.0,30.0,1,2,1,7787.0
213,1,1,4,0,1,130.0,30.0,1,0,1,5703.0
214,1,1,0,1,0,137.0,30.0,1,2,1,6194.0
215,1,1,4,0,0,100.0,30.0,1,1,1,4833.0
216,1,1,0,1,0,135.0,30.0,1,0,0,1950.0
217,1,1,0,1,0,131.0,30.0,1,1,1,5502.0
218,1,1,2,1,0,72.0,30.0,1,1,0,5000.0
219,0,1,2,1,0,127.0,30.0,1,1,1,6666.0
220,1,1,0,1,0,60.0,30.0,1,2,0,2221.0
221,1,1,2,1,0,116.0,30.0,1,1,1,5726.0
222,1,0,0,1,0,144.0,30.0,0,1,1,5762.0
223,1,1,0,1,0,175.0,28.5,1,1,1,8588.0
224,1,1,0,1,0,128.0,30.0,1,1,1,6250.0
225,1,1,0,1,0,170.0,30.0,1,0,0,3250.0
226,1,1,0,0,1,138.0,30.0,1,2,0,4735.0
227,1,1,2,1,0,210.0,30.0,1,1,1,7945.0
228,1,1,0,1,0,158.0,40.0,1,1,1,4758.0
229,1,0,0,1,1,200.0,30.0,0,0,1,6400.0
230,1,1,1,1,0,104.0,30.0,1,1,1,4545.0
231,1,1,0,1,0,42.0,15.0,1,0,1,3716.0
232,1,0,0,0,0,120.0,28.5,0,0,1,5787.0
233,0,0,0,1,0,280.0,30.0,0,1,1,8333.0
234,1,1,1,1,0,140.0,30.0,1,1,1,4934.0
235,1,1,1,1,0,170.0,30.0,1,0,1,6760.0
236,1,1,0,1,0,255.0,30.0,1,2,0,5746.0
237,0,0,0,1,1,122.0,30.0,0,2,1,3463.0
238,0,0,1,1,0,112.0,30.0,0,0,1,3812.0
239,1,1,1,1,0,96.0,30.0,1,1,1,3315.0
240,1,1,2,1,0,120.0,30.0,1,0,1,10819.0
241,1,1,1,0,0,140.0,15.0,1,2,0,4493.0
242,1,0,0,1,0,155.0,5.0,0,2,1,8666.0
243,1,1,2,1,1,108.0,30.0,1,0,1,7550.0
244,1,1,0,0,0,123.0,30.0,1,1,1,7823.0
245,1,0,0,1,1,120.0,15.0,0,2,0,10383.0
246,1,1,2,1,0,112.0,30.0,1,2,1,9703.0
247,1,1,1,0,0,137.0,15.0,1,2,1,6608.0
248,1,1,1,1,0,123.0,40.0,1,1,1,4725.0
249,1,1,0,1,0,90.0,30.0,1,2,1,3677.0
250,1,1,0,0,0,201.0,30.0,1,1,0,5558.0
251,0,0,2,1,0,138.0,30.0,0,2,0,3427.0
252,1,0,0,0,1,104.0,30.0,0,0,1,4750.0
253,1,1,1,0,0,279.0,15.0,1,1,1,9762.0
254,1,0,0,1,1,192.0,30.0,0,2,0,16250.0
255,0,0,4,1,0,255.0,30.0,0,0,1,3083.0
256,1,0,0,0,0,115.0,30.0,0,0,0,6045.0
257,1,1,4,1,0,94.0,30.0,1,2,0,5250.0
258,1,1,0,1,0,304.0,30.0,1,0,0,16783.0
259,1,1,4,0,0,128.0,30.0,1,1,0,4931.0
260,1,1,1,1,0,330.0,30.0,1,2,1,10333.0
261,1,0,0,1,0,134.0,30.0,0,1,1,4269.0
262,0,0,1,1,0,155.0,3.0,0,1,0,3481.0
263,0,0,0,1,0,120.0,30.0,0,0,1,7200.0
264,1,0,0,1,1,128.0,30.0,0,1,1,5166.0
265,1,0,0,1,0,151.0,30.0,0,0,1,7542.0
266,1,1,2,1,0,150.0,30.0,1,1,1,6095.0
267,1,1,4,1,0,160.0,30.0,1,2,1,6144.0
268,0,0,0,1,0,135.0,30.0,0,0,0,3418.0
269,0,0,1,1,0,90.0,30.0,0,2,1,4436.0
270,0,0,0,1,0,30.0,30.0,0,2,1,3237.0
271,1,1,0,1,0,136.0,30.0,1,2,1,11146.0
272,1,0,0,1,0,126.0,30.0,0,0,1,4690.0
273,1,1,0,1,0,150.0,30.0,1,1,1,4843.0
274,1,1,2,1,0,90.0,30.0,1,1,1,3900.0
275,1,1,1,1,0,115.0,30.0,1,1,1,4592.0
276,1,1,0,1,0,207.0,30.0,1,1,1,7267.0
277,1,1,0,1,0,80.0,30.0,1,2,1,4403.0
278,1,1,0,1,0,436.0,30.0,1,1,1,14583.0
279,0,1,0,0,0,124.0,30.0,1,0,1,4100.0
280,1,0,1,0,1,158.0,30.0,0,2,0,6479.0
281,1,1,0,1,0,112.0,30.0,1,1,1,4727.0
282,1,1,2,1,0,78.0,15.0,1,2,1,3286.7999878
283,0,0,0,1,0,54.0,30.0,0,2,1,3477.0
284,1,1,0,1,0,146.41216216216216,30.0,1,0,0,20667.0
285,1,0,0,1,0,89.0,30.0,0,0,1,6211.0
286,0,0,0,1,1,99.0,25.0,0,1,0,4317.0
287,1,1,0,1,0,120.0,30.0,1,0,1,5704.0
288,0,0,0,1,0,115.0,30.0,0,1,1,4124.0
289,1,0,0,1,0,187.0,30.0,0,0,1,9508.0
290,1,1,0,1,0,139.0,30.0,1,0,1,5491.0
291,1,1,2,1,0,127.0,30.0,1,1,0,4400.0
292,1,1,2,1,0,134.0,30.0,1,2,1,4713.0
293,0,0,0,1,0,143.0,40.0,0,2,0,5417.0
294,1,1,0,1,0,172.0,30.0,1,1,1,5717.0
295,1,1,4,1,0,110.0,30.0,1,2,1,5666.0
296,1,1,1,1,0,200.0,30.0,1,1,1,6875.0
297,0,1,1,1,0,135.0,30.0,1,2,1,4666.0
298,0,0,0,1,0,151.0,40.0,0,0,0,7541.0
299,1,1,1,1,0,113.0,30.0,1,2,0,4939.0
300,1,1,0,0,0,93.0,30.0,1,2,0,4734.0
301,1,1,0,0,0,105.0,30.0,1,1,1,4625.0
302,0,0,0,1,0,132.0,30.0,0,0,1,5000.0
303,1,1,1,1,0,96.0,30.0,1,2,1,3428.0
